a.m.,เอเอ็ม,ก่อนเที่ยง
come,คัม,"มา,เข้ามา"
comedy,ค๊อมเมดี้,"ตลก,ตัวตลก"
comet,โค๊เหม็ท,ดาวหาง
comfort,ค๊อมฟอร์ท,"สบาย,ปลอบโยน"
command,คอมมานด์,"สั่ง,คำสั่ง,ครอบงำ"
commence,คอมเม๊นซํ,เริ่มต้น
comment,คอมเม๊นท,วิจารณ์
commerce,ค๊อมเมิร์ซ,ค้าขาย
commission,คอมมิ๊ชชั่น,"คณะกรรมาธิการ,ค่านายหน้า"
commodity,คอมม๊อดิที่,สินค้าโภคภัณฑ์
common,ค๊อมมอน,"ร่วมกัน,ธรรมดา,เหมือนกัน"
commune,ค๊อมมูน,ชุมชน
communicate,คอมมิ๊วนิเขท,สื่อสาร
compact,คอมแพ็คทํ,กะทัดรัด
companion,คอมแพ๊เนี่ยน,"เพื่อน,เพื่อร่วมเดินทาง"
compare,คอมแพร์,เปรียบเทียบ
compass,ค๊อมพาสสํ,เข็มทิศ
compatible,คอมแพ๊ทิเบิ้ล,เข้ากันได้
compensate,ค๊อมเพ็นเสท,ชดเชย
compete,คอมพีท,แข่งขัน
complain,คอมเพลน,"บ่น,ร้องทุกข์"
complement,ค๊อมพลีเม้นท,"ทำให้ครบ,ส่วนประกอบ"
complete,คอมพลีท,"เสร็จ,สมบูรณ์"
complex,คอมเพล็กซ์,ซับซ้อน
complicate,ค๊อมพลิเขท,ซับซ้อน
comply,คอมพลาย,ยินยอม
component,คอมโพ๊เน้นทํ,ส่วนประกอบ
compose,คอมโพส,"แต่ง,เรียง"
compound,ค๊อมพาวนดํ,"ผสม,ประกอบ,บริเวณที่มีรั้วรอบ"
comprehend,คอมพรีเฮ็นดํ,"เข้าใจ,สรุป,กว้างขวาง"
compress,คอมเพรส,"กด,อัด"
comprise,คอมไพร๊ซ,ประกอบด้วย
compromise,ค๊อมโพรไหมสํ,ประนีประนอม
compulsive,คอมพั๊ลซีฟ,"จูงใจ,ดึงดูด"
compute,คอมพิ๊วท,คำนวณ
computer room,คัมพิ๊วเทอะ,ห้องคอมพิวเตอร์
conceal,คอนซีล,"ปิด,บัง"
concede,คอนซี๊ด,ยอมรับ
conceive,คอนซี๊ฝ,คิดขึ้น
concentrate,ค๊อนเซ็นเทรท,"มุ่ง,เน้น"
concern,คอนเซิร์น,"กังวล,เกี่ยวข้อง"
concert,ค๊อนเสิร์ท,การแสดงดนตรี
conclude,คอนคลู้ด,"สรุป,จบ"
concrete,ค๊อนครีท,"เห็นได้ชัด,มีตัวตน"
condemn,คอนเดมนํ,"ด่าว่า,ลงโทษ"
condense,คอนเด๊นส,"ควบแน่น,ข้น"
condition,คอนดิ๊ชั่น,"เงื่อนไข,ข้อแม้"
conduct,คอนดัคท,"นำ,การทำ"
cone,โคน,กรวย
confection,คอนเฟ๊คชั่น,ลูกกวาด
confess,คอนเฟสส,สารภาพ
configuration,คอนฟิกุเร๊ชั่น,"รูปร่าง,สัณฐาน"
confine,ค๊อนไฟน์,"ขอบเขต,จำกัด"
confirm,คอนเฟิร์ม,ยืนยัน
conflict,ค๊อนฟลิคทํ,ขัดแย้ง
confront,คอนฟร้อนทํ,เผชิญหน้า
confuse,คอนฟิ้วส,สับสน
congest,คอนเจ๊สท,แออัด
congratulate,คอนเกร๊ทุเหลท,แสดงความยินดี
congress,ค๊องเกรส,สภา
conjunction,คอนจั๊งชั่น,สันธาน
connect,คอนเน็คท,"เชื่อมต่อ,เกี่ยวข้อง"
conscious,ค๊อนเชียส,"รู้สึกตัว,มีสติ"
consecutive,คอนเซ๊คคิวถีฟ,ติดต่อกัน
consensus,คอนเซ๊นซัส,เอกฉันท์
consequence,ค๊อนซีเคว่นซ์,ผลที่จะเกิดขึ้นตามมา
conserve,ค๊อนเซิร์ฝ,"รักษา,สงวน"
consider,คอนซิ๊เด้อร์,"พิจารณา,นึกถึง"
consist,คอนซิ๊สท,ประกอบด้วย
consistent,คอนซิ๊สเท่นท,ยืนหยัด
consolidate,คอนโซ๊ลิเดท,"ทำให้แข็ง,รวมกัน"
constant,ค๊อนสแตนทํ,คงที่
constitute,ค๊อนสทิทิวท์,"ประกอบขึ้น,รัฐธรรมนูญ"
constrain,คอนสเทรน,"บังคับ,ฝืนใจ,ข้อจำกัด"
construct,คอนสทรั๊คท,สร้าง
consul,ค๊อนซัล,กงสุล
consult,คอนซั้ลท,ปรึกษา
consume,คอนซูม,บริโภค
contact,ค๊อนแทคท,"สัมผัส,ติด"
contain,คอนเทน,"บรรจุ,จำกัดวง"
contaminate,คอนท๊ามิเหนท,ปนเปื้อน
contemporary,คอนเท็มโพร๊ารี่,"รุ่นเดียวกัน,ร่วมสมัย"
contempt,คอนเท้มพ,ดูถูก
contend,คอนเท็นดํ,"โต้,เถียง"
contest,ค๊อนเทสทํ,"ประกวด,แข่งขัน"
continent,ค๊อนทิเน้นทํ,ทวีป
Continental Breakfast,คอนทิเนนทอลเบรคฟาสต์,อาหารเช้าสไตล์ยุโรป
continue,คอนทิ๊นิว,"ต่อไป,สืบเนื่อง"
contract,ค๊อนแทรคทํ,"สัญญาจ้าง,หดตัว"
contrast,ค๊อนทราสทํ,ตรงกันข้าม
contribute,คอนทริ๊บิ้วท,"ช่วยเหลือ,สนับสนุน"
control,คอนโทรล,ควบคุม
controversy,ค๊อนโทรเวอร์ซี่,โต้เถียง
convenience,คอนฝิ๊เนี๊ยนซํ,สะดวก
convention,คอนเฝ๊นชั่น,"การประชุม,ถือเป็นแบบ"
conventional,คอนเฝ๊นชั่นนัล,เป็นระเบียบแบบแผน
converge,คอนเฝิร์จ,รวมกัน
converse,คอนเฝิ๊ร์ส,"ติดต่อ,สัมพันธ์,ตรงกันข้าม"
convert,คอนเฝิร์ท,"กลับ,แปลง"
convey,คอนเฝย์,"นำ,ส่ง"
convict,ค๊อนฝิคทํ,ลงโทษ
convince,คอนฝิ๊นซํ,ทำให้เชื่อ
convoy,ค๊อนฝอย,ขบวนเรือสินค้า
cook,คุค,พ่อครัว
Cookie,คุค’คี, คุกกี้
cookies,คุ๊กคีส,คุกกี้
cool,คูล,"เย็น,เจ๋ง"
cooperate,โคอ๊อฟเพอเหรท,ร่วมมือ
cope,โค้พ,"สู้,จัดการ"
copper,ค๊อพเพ่อร์,ทองแดง
copy,ค๊อพพี่,"สำเนา,ลอกแบบ"
cord,คอร์ด,"เชือก,ด้าย"
core,คอร์,"แก่น,แกน"
coriander,โครีแอน’เดอะ,ผักชี
corn,คอร์น,ข้าวโพด
corner,ค๊อร์เน่อร์,"มุม,เลี้ยวมุม"
corporation,คอร์โพเร๊ชั่น,"บริษัท,คณะ"
correct,คอรเร็คทํ,"ถูกต้อง,ทำให้ถูกต้อง"
correspond,คอเรสพอนดํ,ตรงกัน
correspondent,คอรํเรสพ๊อนเดนทํ,ผู้สื่อข่าว
corrode,คอร์โร้ด,"กัด,กร่อน"
corrupt,คอร์รัพทํ,ทำให้เลวลง
cost,คอสทํ,ต้นทุน
cottage,ค๊อทเถจ,กระท่อม
cotton,ค๊อทท่อน,ฝ้าย
cotton bud,คอทเทิน บัด,ไม้พันสำลี
cough,คอฟ,ไอ
council,เค๊าซิ่ล,"สภา,ที่ปรึกษา"
counsel,เคี้าเซล,"ปรึกษา,แนะนำ"
count,เค้าทํ,"นับ,ถือ,หวัง"
counter,เค๊าเท่อร์,"เครื่องนับจำนวน,โต๊ะยาว"
counterpart,เค๊าเท่อร์พาร์ท,"สำเนา,ของคู่กัน"
country,คั๊นทรี่,"ประเทศ,ชนบท"
coup,คู๊พ,รัฐประหาร
couple,คั๊พเพิ่ล,"สอง,คู่"
coupon,คู๊ปอง,คูปอง
courage,เค๊อเหรจ,กล้าหาญ
course,คอร์ส,"เส้นทาง,หลักสูตร"
court,คอร์ท,"สนาม,ศาล"
cousin,เค๊าซิน,ลูกพี่ลูกน้อง
cover,โค๊ฝเฝ่อร์,"ปกคลุม,บิดบัง,คุ้ม"
cow,คาว,วัว
coward,โค๊หวาร์ด,ขี้ขลาด
crab,แครบ,ปู
crack,แคร๊ค,"แตก,ร้าว"
craft,คราฟทํ,"ยาน,อาชีพ"
crawl,ครอล,คลาน
crayon,เคร๊ยอน,สีเทียน
Cream,ครีม,ครีม
credit,เคร๊ดิท,"เชื่อถือ,เงินเชื่อ"
cricket,คริ๊คคิท,คริกเก็ต
crime,ไคร์ม,อาชญากรรม
crisis,ไคร๊สิส,วิกฤติการณ์
critic,คริ๊ทิค,วิจารณ์
critical,คริ๊ทิคอล,วิกฤติ
crocodile,คร็อกคะไดล,จรเข้
croissant,ครัวซ๊อง,ขนมปังครัวซอง
crop,ครอพ,พืชผล
cross,ครอสสํ,"ข้าม,กากบาท"
crowd,คราวดํ,ฝูงชน
crown,คราวน์,มงกุฏ
crucial,ครู๊เชี่ยล,สำคัญ
crude,ครู๊ด,น้ำมันดิบ
cruel,ครู๊เอ้ล,"ทารุณ,โหดร้าย"
cruise,ครู้ยสํ,ล่องเรือเที่ยว
crush,ครัช,"บด,กระแทก"
cry,คราย,"ร้อง,ร้องไห้"
crystal,คริ๊สตัล,ผลึก
cube,คิ้วบํ,ลูกบาศก์
cucumber,คิ๊วคัมเบ้อร์,แตงกวา
cuisine,คูซีน,อาหาร
cultivate,คั๊ลทิเวท,เพาะปลูก
culture,คั๊ลเจอร์,วัฒนธรรม
cumulative,คิ๊วมูเลทีฟ,สะสม
cup,คัพ,ถ้วย
cure,เคียวรํ,รักษา
curfew,เค๊อร์ฟิว,ห้ามออกจากบ้าน
curious,คิ๊วเรียส,อยากรู้อยากเห็น
current,เค๊อร์เร้นท,"ปัจจุบัน,กระแสน้ำ,เงินตรา"
curriculum,เซอริ๊คูลั่ม,หลักสูตร
curry,เค๊อรํรี่,แกง
curse,เคอร์ส,สาปแช่ง
curtain,เค๊อเทิน,ผ้าม่าน
curve,เคอร์ฟ,"โค้ง,เส้นโค้ง"
custard apple,คั๊สเติด แอ๊พเพิล,น้อยหน่า
Custard ,คัส’เทิร์ด,ขนมคัสตาร์ท
custody,คั๊สโทดี้,ผู้ปกครอง
custom,คั๊สท่อม,"ขนบธรรมเนียม,ศุลกากร"
cut,คัท,"ตัด,ลด"
cycle,ไซ๊เคิ้ล,วงกลม
cycling,ไซ๊คลิง,ปั่นจักรยาน
dad,แด๊ด,พ่อ
Daddy,แดด'ดี,"พ่อ, บิดา"
daily,เด๊ลี่,ประจำวัน
dairy,แด๊รี่,นม
dam,แดม,เขื่อน
damage,แด๊เหมจ,เสียหาย
damn,แดมนํ,สาปแช่ง
dance,แด๊นซ์,เต้นรำ
dancer,ด๊านเซอะ,นักเต้น
dandruff,แด๊นดรัฟฟ์,รังแค
danger,แด๊งเจ้อร์,อันตราย
dare,แดร์,"กล้า,ท้า,บังอาจ"
dark,ด๊าร์ค,"มืด,มัว"
darling,ดาร์ลิ่ง,ที่รัก
darts,ดาทส์,ปาเป้า
data,เด๊ท่า,ข้อมูล
date,เดท,"วันที่,นัดพบ"
Daughter,ดอ'เทอะ,"ลูกสาว, ธิดา"
dawn,ดอว์น,รุ่งเช้า
day,เดย์,"วัน,กลางวัน"
de-,ดี,ลด
dead,เด้ด,ตาย
deaf,ดี๊ฟ,หูหนวก
deal,ดีล,"ความตกลง,เกี่ยวข้อง"
dean,ดีน,คณบดี
dear,เดียร์,ที่รัก
dearly,เดี๊ยร์ลี่,มีราคาแพง
death,เด้ท,ตาย
debate,ดีเบท,"โต้แย้ง,โต้วาที"
debit,เด๊บิท,หนี้สิน
debt,เด็บ,หนี้สิน
decade,เด๊คเขด,ทศวรรษ
decaffeinated coffee,ดีแคฟฟิเนทิด คัฟฟี่,กาแฟไร้คาเฟอีน
decentralize,ดีเซ๊นทรัลไล๊ซํ,กระจายอำนาจ
decide,ดีไซด์,ตัดสินใจ
decision,ดีซิ๊ชั่น,ตัดสินใจ
deck,เด็ค,ดาดฟ้าเรือ
declare,ดีแคล์,ประกาศ
decline,ดีไคลน์,"ลาด,เอียง,เสื่อม"
decode,ดีโค้ด,ถอดรหัส
decorate,เด๊คโคเหรท,ตกแต่ง
decrease,ดี๊ครีซ,ลดลง
dedicate,เด๊ดดิเขต,อุทิศ
deduct,ดีดั๊คท,หักออก
deem,ดีม,ถือว่า
deep,ดี๊พ,"ลึก,สุดซึ้ง"
deer,เดีย,กวาง
default,ดีฟ๊อลท์,"ไม่มี,หมด"
defeat,ดีฟี๊ท,"ทำลาย,ความพ่ายแพ้"
defect,ดีเฟ็คท,ข้อบกพร่อง
defend,ดีเฟ็นด์,"ป้องกันตัว,ตั้งรับ"
define,ดีไฟน์,นิยาม
defrost,ดีฟรอสท์,ทำให้น้ำแข็งละลาย
defy,ดีฟาย,"ยั่ว,ฝ่าฝืน"
degrade,ดีเกรด,ลดยศ
degree,ดีกรี,"ระดับชั้น,ปริญญา,องศา"
delay,ดีเลย์,"ล่าช้า,ทำให้ล่าช้า"
delegate,ดีลิเกท,ผู้แทน
delete,ดีลี๊ท,ลบ
delight,ดีไล๊ท,"ดีใจ,พอใจ"
deliver,ดีลิ๊เฝ่อร์,"ส่ง,มอบ"
delta,เด๊ลท่า,สามเหลี่ยม
deluge,เด๊ลิวจ,น้ำท่วม
demand,ดีมานด์,เรียกร้อง
democracy,ดีม๊อคเครซี่,ประชาธิปไตย
demonstrate,ดีมอนสเทรท,"สาธิต,เดินขบวน"
dense,เด๊นส,หนาแน่น
dental,เด๊นทอล,เกี่ยวกับฟัน
dental floss,เดนทัล ฟลอสส์,ไหมขัดฟัน
dentist,เด็นทิสท,หมอฟัน
deny,ดีนาย,ปฏิเสธ
deodorant spray,ดิโอโดแรนท์ สเปรย์,ยาดับกลิ่น
depart,ดีพาร์ท,ออกจาก
department,ดีพ๊าร์ทเม้นท,แผนก
depend,ดีเพ็นดํ,ขึ้นอยู่กับ
deploy,ดีพลอย,จัด
deposit,ดิพ๊อสิท,"ฝากเงิน,วางเงินมัดจำ"
depot,ดี๊โพ้,โรงเก็บของ
depreciate,ดีพรี๊ซิเอท,เสื่อมค่า
depress,ดีเพรส,ตกต่ำ
derail,ดีเรล,ตกราง
derive,ดีไรฝ,"ได้มา,สืบมา"
descend,ดีเซ้นดํ,"ตก,ลง,สืบมา"
describe,เดสไครบํ,พรรณา
Desert,ดีเสิท,อาหารหวาน
design,ดีไซนํ,ออกแบบ
designer,ดิไซนฺ เนอะ,นักออกแบบ
desire,ดีไซรํ,ปารถนา
desk,เด็สค,โต๊ะนักเรียน
desperate,เด๊สเพอเหรท,สิ้นหวัง
despite,เดสไพ๊ทํ,แม้ว่า
dessert,ดีเซิร์ท,ขนมหวาน
destroy,เดสทรอย,"สังหาร,ทำลาย"
detail,ดีเทล,รายละเอียด
detain,ดีเทน,กักตัว
detect,ดีเท็ค,สืบหา
detective,ดิเท็คทิฝ,นักสืบ
deter,ดีเท่อร์,"กีด,ขวาง"
detergent,ดีเท๊อร์เจ้นทํ,ผงซักฟอก
determine,ดีเท๊อร์ไมน์,"ตั้งใจ,ตกลงใจ"
devalue,ดีแฝ๊ลู่,ลดค่า
devastate,เด๊ฝาสเทท,ล้างผลาญ
develop,เดเฝ๊ลหลอพ,"พัฒนา,เจริญ"
device,ดีไฝ๊ซ์,"ประดิษฐ์,อุบาย"
devil,เด๊ฝิ้ล,ปีศาจ
devote,ดีโฝท,อุทิศ
dew,ดิว,น้ำค้าง
diabetes,ไดอะบิ๊ทิซ,โรคเบาหวาน
diagnose,ไดแอกโน๊ส,วินิจฉัยโรค
diagram,ได๊อะแกรม,แผนผัง
dial,ได๊อัล,หมุน(กด)(โทรศัพท์)
dialogue,ได๊อะหล๊อก,การสนทนา
diameter,ไดอ๊ะมิเท่อร์,เส้นผ่านศูนย์กลาง
diamond,ได๊ม่อนดํ,เพชร
diaper,ได๊อะเพ่อร์,ผ้าอ้อม
diaphragm,ได๊เออะแฟรม,กระบังลม
diarrheal,ไดอะเรีย,ท้องร่วง
diary,ได๊อะรี่,สมุดบันทึกรายวัน
dictate,ดิ๊คเทท,เผด็จการ
die,ดาย,"ตาย,แม่พิมพ์"
diet,ได๊เอ็ท,"อาหาร,อดอาหาร"
difference,ดิ๊ฟเฟอเร้นซ์,แตกต่าง
difficult,ดิ๊ฟฟิคั้ลท,ยาก
diffuse,ดิฟฟิ๊วส,แพร่
dig,ดีกกํ,ขุด
digest,ได๊เจสท,ย่อย
digit,ดิ๊จิท,ตัวเลข
dignity,ดิ๊กนิที่,เกียรติยศ
diligent,ดิ๊ลิเจ่นท,ขยัน
dilute,ไดลู้ท,เจือจาง
Dilute coconut cream,ดิลูท’ โคโค่นัทฺ ครีม, หางกะทิ
dim,ดิม,"มัว,หมอง"
dimension,ไดเม๊นชั่น,ขนาด
dimple,ดิ๊มเพิล,ลักยิ้ม
dinner,ดิน’เนอะ,"อาหารมื้อเย็น, อาหารมื้อค่ำ"
dinosaur,ได๊โนซอร์,ไดโนเสาร์
diploma,ดิพโพล๊ม่า,อนุปริญญา
diplomat,ดิพ พโลแมท,นักการทูต
direct,ไดเร็ค,"ชี้,กำกับ,โดยตรง"
dirt,เดิร์ท,ฝุ่น
dis-,ดิส,ไม่
disappear,ดิสแอ๊พเพียร์,หายไป
disappoint,ดิสแอพพอยท์,"ผิดหวัง,เสียใจ"
disaster,ดิสแอ๊สเท่อร์,ความหายนะ
disc,ดิสค์,แผ่นกลม
discharge,ดิสชาร์จ,ปล่อยออก
discipline,ดิ๊สซิพลิ่น,วินัย
discount,ดิ๊สเค้าท,ส่วนลด
discourage,ดิสค๊อเหรจ,ทำให้ท้อ
discover,ดิสโค๊ฟเฝ่อร์,ค้นพบ
discriminate,ดิสคริ๊มิเหนท,แยกแยะ
discuss,ดิ๊สคัสส,อภิปราย
disease,ดีซี๊ส,โรค
disguise,ดิสไก๊ส,"ปลอม,ปลอมตัว"
disgust,ดิสกั๊สท,ทำให้รังเกียจ
dish,ดิช,จานข้าว
dismal,ดิ๊สมอล,สลดใจ
dismay,ดิสเมย์,ทำใหตกใจ
dismiss,ดิสมิ๊สส,"ไล่ออก,ให้ออก"
dispensable,ดิสเพ๊นเซเบิ้ล,ไม่มีก็ได้
disperse,ดิสเพ๊อร์ส,กระจัดกระจาย
displace,ดิสเพลส,"การกระจัด,ไล่,ขับ"
display,ดิสเพลย์,แสดง
dispute,ดิสพิ้วทํ,"ทะเลาะ,โต้เถียง"
disrupt,ดิสรัพท,ทำลาย
dissent,ดิสเซ้นท,ไม่เห็นด้วย
dissolve,ดิสโซ๊ลฝ,"ละลาย,สลาย"
distance,ดิ๊สแท่นซํ,ระยะทาง
distinct,ดิสทิ๊งทํ,"ชัดเจน,แน่แท้"
distinguish,ดิสทิ๊งกวิช,"แยก,ทำให้เด่น"
distort,ดิสถอร์ท,บิดเบือน
distress,ดิสเทรสส,ทำให้ทุกข์
distribute,ดิสทริบิ๊ว,แจกจ่าย
district,ดิ๊สทริคท,"อำเภอ,ตำบล"
disturb,ดิสเท๊อร์บ,รบกวน
diverge,ไดเฝ๊อร์จ,ต่างออกไป
diversity,ไดเฝ๊อร์ซิที่,"ความแตกต่าง,หลากหลาย"
divide,ดีไฝดํ,"แบ่ง,แยก"
diving,โดฟวิ่ง,การดําน้ํา
divorce,ดีฝอร์ซ,หย่า
do,ดู,ทำ
dock,ด๊อค,ท่าเรือ
doctor,ด็อคเทอะ,หมอ
document,ด๊อคคิวเม้นท,หลักฐาน
dog,ดอก,สุนัข
doll,ดอลล์,ตุ๊กตา
dolphin,ด๊อลฟิน,ปลาโลมา
domain,โดเมน,"ขอบเขต,อาณาจักร"
domestic,โดเม๊สทิค,ภายในประเทศ
dominate,โด๊มิเหนท,ครอบงำ
donate,โด๊เหนท,บริจาค
donkey,ด็องคิ,ลา
door,ดอร์,ประตู
dot,ดอท,จุด
double,ดั๊บเบิ้ล,"สอง,สองเท่า"
doughnut,โด๊นัท,โดนัท
dragon fruit,แดร๊เกิน ฟรูท,แก้วมังกร
dragonfly,แดร๊เกินฟลาย,แมลงปอ
drain,เดรน,รูระบายน้ำ
drama,ดร๊าม่า,ละคร
dramatic,ดราแม๊ทิค,"น่าตื่นเต้น,เหมือนนิยาย"
draw,ดรอว์,"วาด,ลาก,ดึง"
dread,เดรด,น่ากลัว
dream,ดรีม,"ฝัน,ความฝัน"
dress,เดรส,"แต่งตัว,เครื่องแต่งตัว"
drift,ดริฟท์,ลอยไป
drill,ดริลล์,เจาะ
drink,ดริ๊งค,ดื่ม
drive,ไดร๊ฝ,"ขับ,ขับไล่"
driver,ไดร๊เฝอะ,คนขับรถ
drop,ดรอพ,"หยด,ตก,หยุด"
drought,เดร๊าท,ฝนแล้ง
drown,ดราวน,จมน้ำ
drug,ดรัก,"ยา,ยาเสพติด"
drum,ดรัม,กลอง
drunk,ดรั๊งค,เมา
dry,ดราย,"แห้ง,ตาก"
dual,ดู๊ออล,"สอง,คู่"
duck,ดั๊ค,เป็ด
duct,ดั๊คท,ท่อ
ductile,ดั๊คไทล์,เหนียว
due,ดิว,"กำหนด,ครบกำหนด"
duet,ดูเอ็ท,ร้องสองคน
dumb,ดัมบ,ใบ้
dump,ดั๊มพ,"เท,กอง"
duplicate,ดุ๊พพลิเขท,"ฉบับเทียบ,ก๊อปปี้"
durable,ดิ๊วระเบิ้ล,ทนทาน
during,ดิ๊วริ่ง,ในระหว่าง
dust,ดัสท,ฝุ่น
duty,ดิ๊วที่,"หน้าที่,ภาษี"
dwarf,ดวอร์ฟ,"เตี้ย,แคระ"
dwindle,ดวิ๊นเดิ้ล,ลดลง
dynamic,ไดแน๊หมิค,เคลื่อนไหว
dynasty,ได๊นาสที่,ราชวงศ์
each,อีช,แต่ละ
eager,อี๊เก้อร,กระหาย
eagle,อี๊เกิล,นกอินทรี
ear,เอียร,หู
eardrum,เอี๊ยดรัม,เยื่อแก้วหู
earlobe,เอี๊ยโลบ,ติ่งหู
early,เอ๊อรํลี่,"แต่เช้า,มาก่อน,ต้น"
earn,เอิร์น,"หาเลี้ยงชีพ,หาได้"
earth,เอิร์ทร,"โลก,พื้นดิน"
earthworm,เอิธเวิม,ไส้เดือน
ease,อี๊ส,"ง่าย,สบาย,ทำให้ผ่อนคลาย"
east,อี๊สท,ตะวันออก
eat,อีท,กิน
eccentric,เอ็คเซ๊นทริค,"เบี้ยว,ชอบกล"
echo,เอ๊คโค่,เสียงสะท้อน
eclipse,อิ-คลิ๊พส,"มัวหมอง,บังรัศมี"
ecology,อีโค๊โลจี้,นิเวศวิทยา
economic,อีโคโน๊หมิค,เศรษฐกิจ
economy,อีโค๊โนมี่,ประหยัด
edge,เอจ,ขอบ
edible,อิดิ๊เบิ้ล,กินได้
edit,เอ๊ดิท,แก้ไข
editor,เอ็ดดิทเทอะ,บรรณาธิการ
educate,เอ๊ดดูเขท,ศึกษา
effect,เอฟเฟ็ค,ก่อให้เกิดผล
effort,เอ๊ฟฟอร์ท,ความพยายาม
egg,เอ้กก,ไข่
eggplant,เอ้กแพลนทฺ,มะเขือม่วง
ego,อี๊โก้,"ความยึดมั่นในตนเอง,อวดดี"
either,ไอ๊เทร่อ,อย่างใดอย่างหนึ่ง
eject,อีเจ็คท,"ไล่,ขับ"
elastic,อีล๊าสติค,ยืดหยุ่น
elbow,เอ๊ลโบว์,ข้อศอก
elect,อิเล็คท,เลือกตั้ง
electric,อิเล๊คทริค,ไฟฟ้า
electric razor,อิเลคทริค เรเซอร์,เครื่องโกนหนวดไฟฟ้า
electric toothbrush,อิเลคทริค ทูธบรัช,แปรงสีฟันไฟฟ้า
electrician,อิเลคทริช เชียน,ช่างไฟฟ้า
electrode,อิเล๊คโทรด,ขั้วไฟฟ้า
elegant,เอ๊เลแก้นท,"สละสลวย,สง่างาม"
element,เอ๊ลิเม้นท,ธาตุ
elephant,เอ็ลละเฟินท,ช้าง
elevate,เอ๊ลลิเหวท,"เลื่อน,ยก"
eligible,เอ๊ลิจิเบิ้ล,เหมาะ
eliminate,อิลิ๊มิเหนท,กำจัด
elite,อีหลีท,ชนชั้นสูง
ellipse,อีลิ๊พส,วงรี
else,เอ๊ลส,"อื่นๆ,นอกจากนั้น"
em-,เอ็ม,
embargo,เอ็มบ๊าร์โก้,ห้ามส่งสินค้า
embrace,เอ็มเบรซ,"กอด,รวบเข้าไว้"
embryo,เอ๊มบริโอ้,ตัวอ่อน
emerge,อีเม๊อร์จ,ปรากฏออกมา
emergency,อีเม๊อร์เจนซี่,ฉุกเฉิน
emotion,อีโม๊ชั่น,"อารมณ์,ความรู้สึก,อ่อนไหว"
emperor,เอ๊มเพอเร่อ,จักรพรรดิ
emphasis,เอ๊มฟาสิส,"ย้ำ,เน้น"
empire,เอ๊มไพร์,อาณาจักร
employ,เอ็มพลอย,จ้าง
employee,เอ็มพลอยยี่,ลูกจ้าง
employer,เอ็มพล๊อยเย่อร์,นายจ้าง
empower,เอ็มพ๊าวเว่อร์,ให้อำนาจ
empty,เอ๊มพที่,ว่างเปล่า
emulsion,อิมั๊ลชั่น,ของผสม
en-,เอ็น,
enable,เอ็นเอ๊เบิ้ล,ทำให้สามารถ
enact,เอ็นแอ็ค,แสดง
enchant,เอ็นแช๊นท,ทำให้หลงไหล
enclose,เอ็นโคลส,ล้อมรอบ
encourage,เอ็นเค๊อเหร็จ,สนับสนุน
end,เอ็นด,"จบ,สุด,ท้าย"
endeavor,เอ็นดี๊ฟเว่อร์,พยายาม
endorse,เอ็นโด๊ส,ลงนามรับรอง
endure,เอ็นเดียวรํ,ทนทาน
enemy,เอ๊นนิมี่,ศัตรู
energy,เอ๊นเนอร์จี้,"พลัง,พลังงาน"
enforce,เอ็นฟอร์ซ,บังคับใช้
engage,เอ็นเกจ,"มีส่วนร่วม,นัดหมาย,ต่อสู้"
engine,เอ๊นจิ้น,เครื่องยนต์
engine driver,เอน จิน ไดรฟเวอร์,พนักงานขับรถไฟ
engineer,เอ็นจะเนี๊ย,วิศวกร
enhance,เอ็นแฮ๊นซ,ส่งเสริม
enigma,อีนิ๊กม่า,ลึกลับ
enjoy,เอ็นจอย,สนุก
enlarge,เอ็นลาร์จ,ทำให้ใหญ่ขึ้น
enoki mushroom,เอนโนกิ-มัชรูม,เห็ดเข็มทอง
enormous,อีน๊อร์มัส,มากมาย
enough,อีน๊าฟ,เพียงพอ
ensure,เอ็นชัวร์,ทำให้แน่ใจ
enter,เอ๊นเท่อร์,เข้าไป
enterprise,เอ๊นเทอร์ไพร้ส,"บริษัท,กิจการ"
entertain,เอ๊นเทอร์เทน,ทำให้สนุก
entire,เอ็นไทรํ,ทั้งหมด
entitle,เอ็นไท๊เทิ่ล,สมควรได้รับ
envelop,เอ็นเฝ๊-หลอพ,"ซอง,ล้อมรอบ"
epidermis ,เอ็พพิเด๊อมิส,หนังกำพร้า
equal,อี๊ควอล,เท่ากัน
equation,อีเคว๊ชั่น,สมการ
equilibrium,อีควิลิ๊เบี่ยม,สมดุล
equipment,อีควิ๊พเม้นท,เครื่องมือ
equity,เอ๊ควิที่,ยุติธรรม
equivalent,อี-ควิ๊-ฝาเล้นท,เท่าเทียมกัน
era,เอ๊ร่า,ยุค
erase,อีเรส,ลบ
eraser,อิเร๊เสอะ,ยางลบ
erode,อีโร้ด,กัดกร่อน
erupt,อีรัพท,ระเบิด
escalate,เอ๊สคาเลท,"เพิ่ม,ขยาย,ยกให้สูงขึ้น"
escape,เอสเขพ,หนี
especial,เอสเพ๊เชี่ยล,โดยเฉพาะ
essay,เอสเซ่ยํ,เรียงความ
essence,เอ๊สเซ่นซ์,จำเป็น
establish,เอสแท๊บบลิช,"สร้าง,ตั้งมั่น"
estate,เอสเทท,"ที่ดิน,ทรัพย์สิน"
esteem,เอสทีม,"นิยม,นับถือ"
estimate,เอ๊สทิเหมท,ประมาณ
